# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
SA(0.3),quantile-0.15,4.536,-75.681,0.6064509153366089,0.5477200150489807,0.48125141859054565,0.41026341915130615,0.32940375804901123,0.25199955701828003,0.18378110229969025,0.1254114806652069,0.08176200091838837,0.05039741098880768,0.028919808566570282,0.015180107206106186,0.007195186335593462,0.00300981430336833,0.001096988096833229,0.00034135475289076567,0.00008859300578478724,0.000018240265490021557,,
SA(0.3),quantile-0.85,4.536,-75.681,0.6780335903167725,0.6216465830802917,0.5457828044891357,0.45536601543426514,0.36604103446006775,0.28177130222320557,0.20930904150009155,0.14989212155342102,0.10324887931346893,0.06699107587337494,0.0402400866150856,0.023053323850035667,0.012052533216774464,0.00549450796097517,0.0022259799297899008,0.00079176458530128,0.00022305999300442636,0.00006361547275446355,0.00001654886182222981,
SA(0.5),mean,4.536,-75.681,0.6013042330741882,0.5321231484413147,0.45208850502967834,0.3670204281806946,0.2835247218608856,0.20784558355808258,0.14434823393821716,0.09470580518245697,0.058339282870292664,0.033428966999053955,0.0176414605230093,0.008496131747961044,0.003698849817737937,0.0014427644200623035,0.0005025921273045242,0.00015598027675878257,0.00004311285010771826,0.000010585163181531243,,
SA(0.5),quantile-0.15,4.536,-75.681,0.5682032108306885,0.5007829070091248,0.42710864543914795,0.3441505432128906,0.2600668966770172,0.18674935400485992,0.127346932888031,0.08089881390333176,0.04863189160823822,0.026786455884575844,0.013594768941402435,0.006181441247463226,0.0024918948765844107,0.0008923895074985921,0.0002858892548829317,0.00008130774222081527,0.00001906745819724165,,,
SA(0.5),quantile-0.85,4.536,-75.681,0.6150551438331604,0.5562505722045898,0.4853730797767639,0.406710684299469,0.3173249065876007,0.23229560256004333,0.16443151235580444,0.10882022231817245,0.06925545632839203,0.04021306708455086,0.022418707609176636,0.011545737273991108,0.005394493695348501,0.0022186378482729197,0.0007915421156212687,0.0002542438742239028,0.00007802124309819192,0.000025751302018761635,,
SA(0.7),mean,4.536,-75.681,0.5386810302734375,0.46141156554222107,0.37853360176086426,0.2959173619747162,0.21948513388633728,0.15392161905765533,0.10167039185762405,0.06290248036384583,0.036197736859321594,0.019251348450779915,0.009413735941052437,0.004205765202641487,0.001702488400042057,0.0006197980837896466,0.00020140083506703377,0.000058140263718087226,0.000014873222426103894,,,
SA(0.7),quantile-0.15,4.536,-75.681,0.5077969431877136,0.4348336160182953,0.353336364030838,0.2679772973060608,0.1991594135761261,0.13728508353233337,0.08703915029764175,0.05220457911491394,0.028858384117484093,0.014747963286936283,0.0066145011223852634,0.002641437342390418,0.0009390507475472987,0.000301833963021636,0.00008610988152213395,0.000022955089661991224,,,,
SA(0.7),quantile-0.85,4.536,-75.681,0.5603998303413391,0.4909934997558594,0.4138364791870117,0.3237568140029907,0.23957927525043488,0.1727801114320755,0.11469288915395737,0.07252421975135803,0.04337669909000397,0.024517595767974854,0.01304986234754324,0.0062352330423891544,0.0026771833654493093,0.001020073308609426,0.0003345574950799346,0.00011717932648025453,0.000037711539334850386,0.000012863303709309548,,
SA(1.0),mean,4.536,-75.681,0.45935970544815063,0.3792719841003418,0.2991563081741333,0.2241668552160263,0.15878808498382568,0.10583636909723282,0.06604917347431183,0.038409434258937836,0.0207480788230896,0.010391905903816223,0.004808025900274515,0.0020382702350616455,0.0007828883244656026,0.00026937026996165514,0.00008247981168096885,0.000022463762434199452,,,,
SA(1.0),quantile-0.15,4.536,-75.681,0.4349806010723114,0.35683417320251465,0.27501243352890015,0.205117329955101,0.142756387591362,0.0915430560708046,0.05468573421239853,0.03017272800207138,0.01530550979077816,0.006822139490395784,0.0027751282323151827,0.001018858514726162,0.0003384951560292393,0.00010250003833789378,0.000028462201953516342,,,,,
SA(1.0),quantile-0.85,4.536,-75.681,0.4799434542655945,0.403769850730896,0.3196057379245758,0.24425886571407318,0.1757996529340744,0.11976524442434311,0.07639549672603607,0.045512937009334564,0.02639656700193882,0.014520328491926193,0.007221431937068701,0.0033034367952495813,0.0013561358209699392,0.0005080471746623516,0.00016717662219889462,0.000056451299315085635,0.000015067629647091962,,,
SA(1.5),mean,4.536,-75.681,0.3599194288253784,0.2827616035938263,0.2110251486301422,0.14871276915073395,0.09842108935117722,0.06089572608470917,0.03513908386230469,0.01891588792204857,0.009509879164397717,0.004455615300685167,0.0019300003768876195,0.0007623636047355831,0.00027075939578935504,0.00008537274698028341,0.000023776363377692178,,,,,
SA(1.5),quantile-0.15,4.536,-75.681,0.33445948362350464,0.259723961353302,0.19197672605514526,0.13239474594593048,0.08462026715278625,0.05007288604974747,0.027246149256825447,0.013526410795748234,0.006058002356439829,0.0024593807756900787,0.0009163147769868374,0.0003150308330077678,0.00009553114068694413,0.00002445800055284053,,,,,,
SA(1.5),quantile-0.85,4.536,-75.681,0.38578930497169495,0.3038504719734192,0.23096099495887756,0.1656586080789566,0.11151105910539627,0.07047595083713531,0.04238062724471092,0.02428501471877098,0.013495131395757198,0.006963164079934359,0.003215133212506771,0.0014394415775313973,0.0005361078074201941,0.00017468754958827049,0.000059858026361325756,0.000021458276023622602,,,,
SA(2.0),mean,4.536,-75.681,0.28845828771591187,0.21727392077445984,0.15452682971954346,0.10316573828458786,0.06440338492393494,0.03756741061806679,0.020526833832263947,0.010536492802202702,0.00507555715739727,0.002274348633363843,0.0009315481293015182,0.0003415483224671334,0.00010939531057374552,0.00002990028224303387,,,,,,
SA(2.0),quantile-0.15,4.536,-75.681,0.26478782296180725,0.1970285326242447,0.13707637786865234,0.08913569897413254,0.05396486818790436,0.029782572761178017,0.01506599597632885,0.007061169482767582,0.0029746792279183865,0.0011262521147727966,0.0003857303236145526,0.00011827896378235891,0.000031753461371408775,,,,,,,
